job_title,company,location,experience_level,salary,industry,required_skills
Financial planner,Strong-Lopez,New York,Entry Level,78000.0,Healthcare,"medical research, pharmaceuticals, patient care"
"Engineer, civil (consulting)",Hogan Inc,New York,Senior Level,147000.0,Manufacturing,"quality control, supply chain, production planning"
"Investment banker, corporate",Lynch-Willis,Toronto,Entry Level,100000.0,Marketing,"content writing, seo, market research, google ads"
Charity fundraiser,"Lara, Greene and White",London,Entry Level,82000.0,Finance,"sql, python, excel, risk analysis"
"Editor, film/video","Elliott, Vasquez and Griffith",London,Entry Level,131000.0,Education,curriculum design
Exhibition designer,"Reilly, Mercado and Smith",Sydney,Mid Level,125000.0,Finance,"risk analysis, python"
"Accountant, chartered management","Taylor, Brown and Gardner",Bangalore,Senior Level,66000.0,Healthcare,"nursing, medical research, patient care"
Human resources officer,"Garcia, Faulkner and Scott",London,Senior Level,87000.0,Finance,"excel, risk analysis"
Academic librarian,Mack-Andersen,Toronto,Mid Level,120000.0,Retail,merchandising
Leisure centre manager,"Norris, Singleton and Horn",Bangalore,Mid Level,85000.0,Marketing,"seo, social media"
"Research officer, political party",Reyes Inc,Bangalore,Mid Level,117000.0,Education,"edtech, curriculum design, teaching"
"Psychologist, sport and exercise",Anderson Ltd,Berlin,Entry Level,148000.0,Marketing,"market research, social media"
Further education lecturer,"Graham, Sheppard and Obrien",Toronto,Senior Level,107000.0,Healthcare,"medical research, pharmaceuticals"
"Optician, dispensing",Franklin Ltd,Berlin,Entry Level,145000.0,Manufacturing,supply chain
"Investment banker, operational",Russell LLC,Bangalore,Senior Level,43000.0,Marketing,seo
Patent attorney,"Lewis, Sheppard and Morgan",Toronto,Senior Level,50000.0,Manufacturing,"quality control, production planning, supply chain"
Dispensing optician,"Garcia, Rojas and Flores",Berlin,Entry Level,58000.0,Education,"research, edtech, curriculum design"
Psychiatric nurse,Lutz Ltd,San Francisco,Mid Level,103000.0,Retail,"merchandising, sales"
Clinical molecular geneticist,"Holder, Lee and Knight",San Francisco,Senior Level,149000.0,Retail,"sales, customer service, merchandising"
Charity fundraiser,"Fritz, Roberts and Berg",New York,Mid Level,52000.0,Software,"python, sql, java"
Race relations officer,"Ortiz, Ferguson and Mercado",San Francisco,Entry Level,91000.0,Marketing,"market research, google ads"
Advice worker,Forbes-Duncan,Toronto,Mid Level,79000.0,Retail,sales
Learning mentor,"Olson, Case and Chandler",London,Mid Level,75000.0,Retail,"sales, merchandising"
"Geologist, wellsite","Watkins, Sullivan and Brock",Bangalore,Mid Level,44000.0,Software,"machine learning, python, java"
Senior tax professional/tax inspector,"Hernandez, Jones and George",Toronto,Senior Level,97000.0,Retail,"merchandising, customer service, sales"
Heritage manager,Baxter and Sons,Bangalore,Senior Level,90000.0,Software,"python, java, machine learning, react"
Operations geologist,Tapia PLC,Bangalore,Entry Level,127000.0,Manufacturing,"production planning, quality control, supply chain"
"Psychologist, prison and probation services",Miller-Robinson,Berlin,Mid Level,85000.0,Finance,"python, sql, risk analysis, financial modeling"
Chartered accountant,Burton Ltd,San Francisco,Senior Level,92000.0,Healthcare,"patient care, pharmaceuticals, medical research"
Architectural technologist,"Bass, Dunn and Williams",Toronto,Mid Level,52000.0,Manufacturing,"supply chain, production planning, quality control"
Financial risk analyst,Harris LLC,Berlin,Senior Level,119000.0,Marketing,market research
Nutritional therapist,Harper Group,Sydney,Mid Level,40000.0,Finance,"excel, risk analysis, python, financial modeling"
Paediatric nurse,Johnson-Tate,London,Entry Level,103000.0,Manufacturing,quality control
Quantity surveyor,Silva-Smith,Sydney,Senior Level,59000.0,Education,curriculum design
"Teacher, secondary school",Lynch-Woods,London,Mid Level,118000.0,Retail,merchandising
Trading standards officer,Hill Inc,Toronto,Mid Level,52000.0,Finance,"risk analysis, financial modeling, python"
Commissioning editor,Jackson Ltd,New York,Senior Level,140000.0,Software,react
Public house manager,Allison and Sons,Bangalore,Mid Level,108000.0,Healthcare,"patient care, medical research, nursing, pharmaceuticals"
Public affairs consultant,Mercer Group,Sydney,Entry Level,60000.0,Marketing,"content writing, google ads"
Exhibition designer,Pierce PLC,London,Mid Level,121000.0,Education,teaching
Plant breeder/geneticist,Pace-Franco,San Francisco,Mid Level,138000.0,Software,machine learning
Agricultural engineer,Jackson-Lopez,Toronto,Entry Level,107000.0,Retail,"sales, merchandising"
Museum education officer,Hill-Cortez,Sydney,Entry Level,86000.0,Marketing,"google ads, content writing, seo"
Estate agent,Roth and Sons,Berlin,Entry Level,73000.0,Manufacturing,"production planning, supply chain, quality control"
Marketing executive,"Campbell, Sloan and Macdonald",Toronto,Mid Level,121000.0,Education,teaching
Patent examiner,"Mendoza, Murillo and Hess",Bangalore,Mid Level,77000.0,Finance,"risk analysis, sql"
Sports development officer,Watts Ltd,Sydney,Mid Level,61000.0,Manufacturing,"production planning, supply chain"
Stage manager,"Lewis, Jackson and David",London,Entry Level,121000.0,Software,machine learning
"Designer, blown glass/stained glass",Hernandez and Sons,Bangalore,Mid Level,61000.0,Marketing,"market research, seo, google ads"
Tax inspector,Sullivan-Vaughn,New York,Mid Level,88000.0,Education,"teaching, curriculum design, research"
Building services engineer,King Ltd,San Francisco,Mid Level,128000.0,Healthcare,"nursing, pharmaceuticals, patient care"
Best boy,Perkins-Fowler,Berlin,Senior Level,134000.0,Marketing,"content writing, seo, market research"
"Designer, exhibition/display","Gonzales, Sanchez and Hill",Sydney,Entry Level,106000.0,Manufacturing,"quality control, supply chain"
Quarry manager,"Edwards, Mcdowell and Benjamin",San Francisco,Senior Level,51000.0,Finance,"risk analysis, sql"
Ecologist,Arias LLC,Toronto,Senior Level,73000.0,Finance,risk analysis
"Designer, industrial/product",Jennings PLC,Bangalore,Mid Level,72000.0,Healthcare,pharmaceuticals
Science writer,Hooper-Villarreal,San Francisco,Mid Level,55000.0,Healthcare,"medical research, patient care, nursing"
Horticultural consultant,"Jones, Davis and Gomez",San Francisco,Senior Level,40000.0,Manufacturing,supply chain
Chartered legal executive (England and Wales),"Burgess, Taylor and Blackburn",San Francisco,Entry Level,99000.0,Education,"teaching, edtech, research, curriculum design"
Solicitor,Pierce-Allen,Sydney,Entry Level,51000.0,Retail,customer service
Public relations officer,"Martinez, Davis and Stuart",Berlin,Mid Level,108000.0,Retail,"merchandising, sales"
"Horticulturist, commercial",Hurst Ltd,San Francisco,Mid Level,78000.0,Education,curriculum design
"Psychologist, educational",Sherman Ltd,Toronto,Entry Level,121000.0,Retail,customer service
Forest/woodland manager,"Mendez, Martinez and Bowers",London,Entry Level,50000.0,Education,"edtech, research, teaching, curriculum design"
"Scientist, research (life sciences)","Rose, Farmer and Holland",Toronto,Mid Level,77000.0,Healthcare,"nursing, patient care, medical research, pharmaceuticals"
"Engineer, drilling",Greer-Skinner,Sydney,Senior Level,102000.0,Marketing,"market research, seo"
Materials engineer,Stone-Hayes,Bangalore,Senior Level,113000.0,Education,"research, teaching, curriculum design"
"Therapist, occupational","Hudson, Hubbard and Gonzales",Sydney,Senior Level,140000.0,Healthcare,nursing
Radio broadcast assistant,Cummings Ltd,Bangalore,Mid Level,135000.0,Software,"machine learning, sql"
Personal assistant,Williams and Sons,Bangalore,Entry Level,110000.0,Education,edtech
Call centre manager,Koch-Francis,Bangalore,Mid Level,88000.0,Finance,python
Chief Strategy Officer,Ruiz-Weaver,San Francisco,Entry Level,148000.0,Software,"java, c, sql"
Equality and diversity officer,Rodriguez-Mays,Sydney,Mid Level,78000.0,Retail,"customer service, sales"
Lexicographer,Kerr-Mcdowell,Sydney,Senior Level,87000.0,Healthcare,pharmaceuticals
Teaching laboratory technician,"Haley, Welch and Welch",Bangalore,Entry Level,52000.0,Education,teaching
Special effects artist,Hickman-Willis,Toronto,Entry Level,63000.0,Education,"curriculum design, research, teaching"
Music therapist,Roberts-Thomas,Toronto,Entry Level,144000.0,Retail,"merchandising, sales, customer service"
Youth worker,Gonzalez Inc,London,Entry Level,55000.0,Healthcare,"patient care, medical research, pharmaceuticals, nursing"
Theatre stage manager,Williamson-Delgado,Toronto,Senior Level,140000.0,Marketing,"market research, seo, content writing, social media"
Illustrator,Ramirez and Sons,Sydney,Senior Level,96000.0,Manufacturing,"production planning, quality control"
Public affairs consultant,"Ford, Hess and Walker",Bangalore,Mid Level,81000.0,Software,"aws, sql, c, react"
"Scientist, clinical (histocompatibility and immunogenetics)",Walker-Wheeler,Sydney,Senior Level,126000.0,Healthcare,"nursing, patient care, medical research, pharmaceuticals"
"Conservator, museum/gallery",Coleman Ltd,Berlin,Entry Level,42000.0,Manufacturing,"quality control, production planning, supply chain"
"Designer, interior/spatial",Gray PLC,San Francisco,Entry Level,110000.0,Finance,financial modeling
Occupational therapist,Holmes LLC,London,Mid Level,99000.0,Software,sql
"Development worker, community",Fitzgerald-Murray,Bangalore,Senior Level,64000.0,Healthcare,"pharmaceuticals, medical research"
Garment/textile technologist,Williams-White,New York,Entry Level,61000.0,Education,"curriculum design, research, edtech, teaching"
Hospital doctor,Bates and Sons,New York,Entry Level,45000.0,Finance,"python, risk analysis, financial modeling, excel"
Historic buildings inspector/conservation officer,"Hernandez, Carpenter and Mckinney",New York,Senior Level,51000.0,Retail,"merchandising, sales, customer service"
Production manager,Wood Group,Sydney,Mid Level,135000.0,Marketing,"social media, content writing, seo"
Proofreader,Livingston-Watson,Bangalore,Entry Level,138000.0,Manufacturing,"quality control, supply chain, production planning"
"Engineer, agricultural","Smith, Wells and Guzman",London,Mid Level,41000.0,Software,machine learning
Purchasing manager,Lang-Dixon,Sydney,Entry Level,66000.0,Retail,customer service
Ergonomist,Lester-Lucas,Sydney,Mid Level,119000.0,Manufacturing,"production planning, quality control, supply chain"
Freight forwarder,Miller-Paul,New York,Entry Level,119000.0,Healthcare,"pharmaceuticals, nursing"
Waste management officer,"Pierce, Ramirez and Harris",San Francisco,Entry Level,60000.0,Healthcare,"medical research, nursing, pharmaceuticals, patient care"
Restaurant manager,Davis LLC,London,Mid Level,94000.0,Software,"java, sql"
Musician,Thomas and Sons,Toronto,Mid Level,130000.0,Manufacturing,"quality control, supply chain, production planning"
Technical author,"Foster, Wilson and Henderson",San Francisco,Entry Level,41000.0,Manufacturing,"production planning, supply chain, quality control"
"Engineer, manufacturing systems",Spencer-Hernandez,Bangalore,Senior Level,133000.0,Healthcare,"medical research, patient care, pharmaceuticals"
"Engineer, structural",Jones and Sons,San Francisco,Entry Level,102000.0,Finance,"sql, excel, risk analysis"
"Research officer, government",Henderson and Sons,Sydney,Senior Level,112000.0,Manufacturing,"production planning, quality control"
Television production assistant,Villa Ltd,Sydney,Senior Level,123000.0,Manufacturing,"supply chain, production planning"
"Surveyor, hydrographic",Martinez Group,Berlin,Senior Level,95000.0,Education,edtech
Geoscientist,Bell-Anderson,New York,Senior Level,112000.0,Marketing,"seo, market research, content writing"
Travel agency manager,Kerr-Coleman,New York,Senior Level,139000.0,Education,"teaching, research, edtech, curriculum design"
Food technologist,Webster-Chang,London,Entry Level,94000.0,Software,java
Patent attorney,Callahan PLC,London,Senior Level,59000.0,Education,edtech
"Pharmacist, hospital",Mason-Nelson,San Francisco,Senior Level,48000.0,Healthcare,"medical research, pharmaceuticals, nursing, patient care"
Copy,Schaefer-Wilson,Toronto,Entry Level,145000.0,Finance,"excel, financial modeling, sql, risk analysis"
Control and instrumentation engineer,"Sims, Wilkerson and Anderson",Berlin,Mid Level,126000.0,Healthcare,"patient care, nursing"
Tax adviser,"Mueller, Compton and Nguyen",San Francisco,Mid Level,79000.0,Marketing,"seo, market research"
"Engineer, mining",Pacheco-Perez,Toronto,Mid Level,68000.0,Finance,"risk analysis, financial modeling, excel"
Chiropodist,"Conrad, Lopez and Perez",Berlin,Senior Level,138000.0,Education,"curriculum design, research, teaching"
Ophthalmologist,"Walker, Craig and Gentry",Sydney,Senior Level,111000.0,Marketing,"social media, seo, google ads"
Theatre director,Patton LLC,Berlin,Entry Level,109000.0,Software,"aws, sql"
Copy,Hayes PLC,Berlin,Entry Level,124000.0,Healthcare,"patient care, pharmaceuticals, nursing, medical research"
"Engineer, structural",Jackson-Johnson,Toronto,Mid Level,77000.0,Manufacturing,"supply chain, production planning, quality control"
Education administrator,"Holden, Jones and Owens",London,Entry Level,119000.0,Healthcare,"nursing, patient care, medical research, pharmaceuticals"
"Surveyor, building","Williams, Lozano and Wright",Berlin,Senior Level,87000.0,Healthcare,pharmaceuticals
Dietitian,Pena-Johnson,London,Mid Level,76000.0,Finance,"risk analysis, financial modeling, python, excel"
Ophthalmologist,"Martin, Williams and Rosario",San Francisco,Mid Level,149000.0,Finance,"python, risk analysis, sql, excel"
Wellsite geologist,Dorsey Ltd,Sydney,Entry Level,87000.0,Finance,"risk analysis, financial modeling, sql"
Trade union research officer,Nguyen-Lewis,London,Mid Level,110000.0,Retail,"customer service, merchandising"
"Scientist, research (medical)","Higgins, Odonnell and Williams",Bangalore,Senior Level,91000.0,Finance,"risk analysis, sql, python"
Nutritional therapist,"Walters, French and Shaw",San Francisco,Senior Level,106000.0,Marketing,"seo, google ads, market research"
"Producer, television/film/video","Hood, Wright and Rodriguez",Bangalore,Entry Level,58000.0,Healthcare,"pharmaceuticals, medical research, nursing"
Psychiatrist,Long PLC,London,Senior Level,91000.0,Finance,"sql, python, financial modeling"
"Producer, television/film/video",Garcia-Wood,Sydney,Mid Level,71000.0,Healthcare,"pharmaceuticals, patient care"
Interior and spatial designer,Miller and Sons,Berlin,Mid Level,121000.0,Finance,"python, risk analysis"
